Warning, this file was generated with a script to convert MCNP output to SCALE s
       238 number of neutron groups
        67   number of sensitivity profiles          67 are region integrated
  0.999910 +/-   0.000060  k-eff from the forward case
energy boundaries:
  8.000000E-01  7.500000E-01  7.000000E-01  6.500000E-01  6.250000E-01
  6.000000E-01  5.500000E-01  5.000000E-01  4.500000E-01  4.000000E-01
  3.750000E-01  3.500000E-01  3.250000E-01  3.000000E-01  2.750000E-01
  2.500000E-01  2.250000E-01  2.000000E-01  1.750000E-01  1.500000E-01
  1.250000E-01  1.000000E-01  9.000000E-02  8.000000E-02  7.000000E-02
  6.000000E-02  5.000000E-02  4.000000E-02  3.000000E-02  2.530000E-02
  1.000000E-02  7.500000E-03  5.000000E-03  4.000000E-03  3.000000E-03
  2.500000E-03  2.000000E-03  1.500000E-03  1.200000E-03  1.000000E-03
  7.500000E-04  5.000000E-04  1.000000E-04  1.000000E-05
n-14         capture           7014    101
      0      0                                                  
  0.000000E+00  0.000000E+00      0      0
 -7.015045E-08  3.015748E-12  7.015045E-08  0.000000E+00  3.015748E-12
 -4.640400E-13 -3.667900E-12 -4.219900E-12 -7.359600E-12 -1.905100E-11
 -2.722800E-10 -5.486400E-10 -1.800400E-09 -4.540700E-09 -4.504200E-09
 -2.304200E-08 -7.346000E-09 -1.372900E-09 -5.997400E-09 -4.119100E-09
 -2.634600E-09 -1.737000E-09 -1.004400E-09 -4.295000E-10 -3.162600E-10
 -4.918800E-10 -2.261900E-10 -4.621200E-10 -5.087300E-11 -6.080100E-11
 -3.461100E-11 -1.181000E-10 -3.500600E-10 -1.015400E-09 -3.077700E-10
 -4.227700E-09 -1.627500E-10 -6.308000E-11 -3.793700E-10 -1.830300E-09
 -1.228600E-10 -5.032700E-11 -4.428300E-11 -1.273100E-10 -8.388300E-11
 -8.409900E-11 -5.084000E-11 -1.949700E-11 -2.410600E-11 -1.129400E-11
 -2.303400E-12 -5.309400E-12 -1.393100E-12 -9.124000E-12 -5.058800E-12
 -1.278200E-12 -3.290500E-12 -9.121600E-12 -2.685000E-12 -4.253400E-12
 -1.761200E-12 -1.657900E-12 -4.830600E-13 -8.305200E-13 -1.037300E-12
 -6.049100E-14 -2.236100E-13 -1.041600E-13 -7.708900E-14 -1.697400E-14
 -1.107500E-13 -6.940100E-14 -6.532000E-14 -2.585900E-13 -2.215000E-14
 -1.698700E-14  0.000000E+00 -5.429800E-15 -3.143400E-14  0.000000E+00
 -7.678200E-14 -4.663400E-15  0.000000E+00  0.000000E+00 -2.875300E-14
 -3.869800E-14  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
 -2.626466E-15 -1.333648E-14 -1.244870E-14 -1.583050E-14 -5.025654E-14
 -2.061160E-13 -2.463394E-13 -4.591020E-13 -5.812096E-13 -8.918316E-13
 -2.188990E-12 -8.374440E-13 -3.089025E-13 -5.937426E-13 -4.613392E-13
 -6.349386E-13 -4.238280E-13 -2.752056E-13 -9.234250E-14 -7.748370E-14
 -9.247344E-14 -3.867849E-14 -8.040888E-14 -1.633023E-14 -1.854430E-14
 -1.284068E-14 -2.633630E-14 -6.406098E-14 -1.452022E-13 -1.138749E-13
 -6.510658E-13 -3.710700E-14 -1.539152E-14 -7.966770E-14 -5.728839E-13
 -2.506344E-14 -1.167586E-14 -1.107075E-14 -1.489527E-14 -1.224692E-14
 -9.166791E-15 -7.473480E-15 -3.899400E-15 -5.158684E-15 -2.800912E-15
 -1.218499E-15 -2.224639E-15 -9.194460E-16 -2.709828E-15 -2.028579E-15
 -8.576722E-16 -2.283607E-15 -3.219925E-15 -1.855335E-15 -2.449958E-15
 -1.407199E-15 -1.409215E-15 -6.207321E-16 -1.069710E-15 -2.321477E-15
 -1.973216E-16 -5.885415E-16 -2.976893E-16 -4.276127E-16 -1.167472E-16
 -4.163092E-16 -3.055032E-16 -3.910055E-16 -1.852280E-15 -1.283593E-16
 -9.113525E-17  0.000000E+00 -3.892081E-17 -1.407929E-16  0.000000E+00
 -6.597109E-16 -4.637285E-17  0.000000E+00  0.000000E+00 -2.859198E-16
 -2.525431E-16  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
n-14         elastic           7014      2
      0      0                                                  
  0.000000E+00  0.000000E+00      0      0
 -1.089190E-06  6.338505E-09  2.351470E-06  6.311400E-07  3.317605E-10
 -2.819500E-12 -1.695300E-11 -1.826300E-11 -3.146200E-11 -8.153900E-11
 -9.513800E-10 -2.514600E-09 -8.789200E-09 -2.276000E-08 -1.434100E-08
 -8.336500E-08 -5.256700E-08 -1.576100E-08 -5.665700E-08 -1.091200E-07
 -3.410700E-08 -1.765700E-08 -1.794800E-08 -1.967600E-08 -1.543900E-08
 -4.180400E-08 -4.776800E-08 -2.982100E-08 -7.136000E-09 -9.623800E-09
 -5.718900E-09 -1.881300E-08 -4.037000E-08 -4.955500E-08 -7.322100E-09
 -4.782800E-08  1.176700E-07 -1.978200E-08 -4.898400E-08 -3.360900E-08
 -3.634300E-08 -4.227300E-08 -2.783300E-08  5.134700E-07 -1.053500E-07
 -1.507900E-07 -1.235400E-07 -5.592300E-08 -7.692400E-08 -3.917900E-08
 -8.257900E-09 -1.934400E-08 -5.143800E-09 -3.440800E-08 -1.948300E-08
 -4.947500E-09 -1.277700E-08 -3.496100E-08 -9.841600E-09 -1.507900E-08
 -5.790900E-09 -4.975900E-09 -1.316000E-09 -2.071800E-09 -2.231100E-09
 -1.167600E-10 -4.105900E-10 -1.729700E-10 -1.203200E-10 -2.578500E-11
 -1.576000E-10 -9.025800E-11 -8.217100E-11 -2.921100E-10 -2.307500E-11
 -1.636500E-11  0.000000E+00 -4.504000E-12 -2.164300E-11  0.000000E+00
 -4.187100E-11 -2.241800E-12  0.000000E+00  0.000000E+00 -1.292400E-11
 -1.619600E-11  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
 -1.713410E-14 -6.186150E-14 -5.371148E-14 -6.767476E-14 -2.150999E-13
 -7.135350E-13 -1.156716E-12 -2.170932E-12 -3.095360E-12 -2.868200E-12
