pu-met-fast-002-001                                                             
       238 number of neutron groups
       134   number of sensitivity profiles          70 are region integrated
  1.000844 +/-   0.000100  k-eff from the forward case
energy boundaries:
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
  1.592464E-16  3.905148E-16  4.432900E-10  5.025541E-10  8.925280E-10
  5.517111E-09  9.892487E-09  1.918808E-08  2.958825E-08  1.187322E-08
  3.481068E-08  1.834662E-08  5.638667E-09  2.875626E-08  2.972608E-08
  1.105074E-08  5.569697E-09  5.298048E-09  9.445531E-09  7.489803E-09
  1.621361E-08  1.539857E-08  1.690427E-08  4.065772E-09  5.294381E-09
  3.179125E-09  9.459337E-09  1.692842E-08  1.860575E-08  2.681599E-09
  2.235743E-08  9.573669E-09  9.131414E-09  2.179824E-08  1.208388E-08
  1.300309E-08  8.732190E-09  9.416621E-09  3.609214E-08  3.330774E-08
  4.035716E-08  2.932038E-08  1.279169E-08  1.721779E-08  9.113386E-09
  1.986181E-09  4.881695E-09  1.583527E-09  9.486697E-09  5.294873E-09
  1.629056E-09  3.970692E-09  1.116970E-08  3.701274E-09  5.650684E-09
  3.225480E-09  2.844026E-09  1.612820E-09  2.011916E-09  1.886797E-09
  5.076655E-13  1.026750E-09  2.361846E-10  6.912853E-10  1.317055E-13
  1.264327E-09  2.104303E-09  4.631383E-13  6.430439E-10  4.658508E-14
  1.018146E-09  1.363780E-12  7.114337E-13  1.292120E-11  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
ga-69        capture          31069    101
     -1      0                                                  
  0.000000E+00  0.000000E+00      0      0
 -7.288357E-05  1.189529E-07  7.288357E-05  0.000000E+00  0.000000E+00
 -1.576537E-09 -7.477738E-09 -1.476212E-08 -1.745019E-08 -4.728097E-08
 -5.441225E-07 -1.085541E-06 -2.162728E-06 -3.225906E-06 -1.280953E-06
 -3.881770E-06 -2.100780E-06 -6.437336E-07 -3.264166E-06 -3.310461E-06
 -1.211440E-06 -6.067810E-07 -5.625124E-07 -9.875895E-07 -7.838505E-07
 -1.660502E-06 -1.606807E-06 -1.778777E-06 -4.165375E-07 -5.407855E-07
 -3.065052E-07 -9.207712E-07 -1.630592E-06 -1.895495E-06 -2.474680E-07
 -2.111163E-06 -9.802081E-07 -9.060755E-07 -2.119746E-06 -1.254539E-06
 -1.343940E-06 -8.871250E-07 -9.353592E-07 -3.535795E-06 -3.361539E-06
 -4.071657E-06 -3.225141E-06 -1.567436E-06 -2.039959E-06 -1.120819E-06
 -2.163677E-07 -5.222374E-07 -1.521642E-07 -9.712899E-07 -6.458220E-07
 -1.668646E-07 -4.059484E-07 -1.266318E-06 -4.052774E-07 -6.463706E-07
 -3.484189E-07 -2.818384E-07 -1.270225E-07 -1.620940E-07 -1.459064E-07
 -6.433150E-09 -5.006830E-08 -8.691424E-09 -1.935978E-08 -1.515021E-10
 -3.804820E-08 -4.917814E-08 -4.269003E-10 -1.598319E-08 -8.368697E-11
 -1.400220E-08 -3.431855E-10 -2.666165E-10 -6.739447E-09 -2.087211E-12
 -3.891836E-12 -3.056407E-12 -1.297007E-14 -2.294685E-12 -1.161834E-12
 -6.934577E-12  0.000000E+00  0.000000E+00 -4.159721E-09 -4.621107E-11
 -4.925702E-12  0.000000E+00  0.000000E+00 -2.497580E-12  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00 -1.053282E-13
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
